Language	Family	Subdivision	Parent	Location	Latitude	Longitude	Radius (km)	Speakers - modern era	Endangered status	Sources
Temoq	Austroasiatic	Aslian		Malay, South Thailand	2.867	102.837	20	100	severely endangered	https://www.jstor.org/stable/20019154?seq=1
Mah Meri	Austroasiatic	Aslian		Malay, South Thailand	2.871123	101.864228	70	3700		https://www.jstor.org/stable/20019154?seq=1
Jah Hut	Austroasiatic	Aslian		Malay, South Thailand	3.444552	102.41998	60	4200		https://www.jstor.org/stable/20019154?seq=1
Cheq Wong	Austroasiatic	Aslian		Malay, South Thailand	3.569775	101.937976	28	460		https://www.jstor.org/stable/20019154?seq=1
Semaq Beri	Austroasiatic	Aslian		Malay, South Thailand	4.380849	102.74198	110	2500		https://www.jstor.org/stable/20019154?seq=1
Jahai	Austroasiatic	Aslian		Malay, South Thailand	4.571692	101.9723	134	1000		https://www.jstor.org/stable/20019154?seq=1
Semai	Austroasiatic	Aslian		Malay, South Thailand	4.68879	101.370983	83	45000		https://languagesgulper.com/eng/Austroasiatic.html
Batek	Austroasiatic	Aslian		Malay, South Thailand	4.87307	102.328218	53	1000	endangered	https://www.jstor.org/stable/20019154?seq=1
Lanoh	Austroasiatic	Aslian		Malay, South Thailand	5.179061	100.979809	40	200	endangered	https://www.jstor.org/stable/20019154?seq=1
Kintaq	Austroasiatic	Aslian		Malay, South Thailand	5.450136	101.136546	20	110	endangered	https://www.jstor.org/stable/20019154?seq=1
Temiar	Austroasiatic	Aslian		Malay, South Thailand	5.60574	101.56116	80	27000		https://languagesgulper.com/eng/Austroasiatic.html
Kensiu	Austroasiatic	Aslian		Malay, South Thailand	5.750109	101.033885	50	300	endangered	https://www.jstor.org/stable/20019154?seq=1
Minriq	Austroasiatic	Aslian		Malay, South Thailand	5.997032	102.019117	21	200	endangered	https://www.jstor.org/stable/20019154?seq=1
Sambelong	Austroasiatic	Nicobarese	Mon-Khmer	South Nicobar Islands	6.818277	93.82789	5	7500		https://www.britannica.com/topic/Nicobarese-languages
Shompen	Austroasiatic	Nicobarese	Mon-Khmer	South Nicobar Islands	7.019229	93.911576	3	400		https://www.britannica.com/topic/Nicobarese-languages
Katchal	Austroasiatic	Nicobarese	Mon-Khmer	Central Nicobar Islands	7.967979	93.359355	5	5700		https://languagesgulper.com/eng/Austroasiatic.html
Nancowry	Austroasiatic	Nicobarese	Mon-Khmer	Central Nicobar Islands	7.975354	93.55174	3	930		https://languagesgulper.com/eng/Austroasiatic.html
Camorta	Austroasiatic	Nicobarese	Mon-Khmer	Central Nicobar Islands	8.156931	93.484164	5	3400		https://languagesgulper.com/eng/Austroasiatic.html
Teressa	Austroasiatic	Nicobarese	Mon-Khmer	North Nicobar Islands	8.24085	93.128487	4	2100		https://languagesgulper.com/eng/Austroasiatic.html
Car	Austroasiatic	Nicobarese	Mon-Khmer	North Nicobar Islands	9.175307	92.779582	6	37000		https://languagesgulper.com/eng/Austroasiatic.html
Chaura	Austroasiatic	Nicobarese	Mon-Khmer	North Nicobar Islands	9.222743	92.792103	5	5900		https://languagesgulper.com/eng/Austroasiatic.html
Chung	Austroasiatic	Pearic	Old Khmeric	West Cambodia, Southeast Thailand	10.70141	103.821141	10	70	severely endangered	https://www.britannica.com/topic/Pearic-languages
Sre/Koho	Austroasiatic	Bahnaric		Vietnam, South Laos, East Cambodia	11.306362	107.392206	70	130000		https://languagesgulper.com/eng/Austroasiatic.html
Song of Kampong Speu	Austroasiatic	Pearic	Old Khmeric	Southern Cambodia	11.461322	104.515416	5	30	severely endangered	https://www.britannica.com/topic/Pearic-languages
Chong of Trat	Austroasiatic	Pearic	Old Khmeric	West Cambodia, Southeast Thailand	12.252884	102.511894	20	50	severely endangered	https://www.britannica.com/topic/Pearic-languages
Samre	Austroasiatic	Pearic	Old Khmeric	West Cambodia, Southeast Thailand	12.31171	103.594599	120	1500	endangered	https://www.britannica.com/topic/Pearic-languages
Chong	Austroasiatic	Pearic	Old Khmeric	West Cambodia, Southeast Thailand	12.66029	102.121016	110	500	endangered	https://languagesgulper.com/eng/Austroasiatic.html
Pear of Kampong Thom	Austroasiatic	Pearic	Old Khmeric	Southern Cambodia	12.822151	104.947498	30	50	severely endangered	https://www.britannica.com/topic/Pearic-languages
Samrai	Austroasiatic	Pearic	Old Khmeric	West Cambodia, Southeast Thailand	13.090194	103.209627	30	200	endangered	https://www.britannica.com/topic/Pearic-languages
Northern Khmer	Austroasiatic	Khmeric		Southeast Thailand	15.408708	103.682406	98	1400000		https://languagesgulper.com/eng/Austroasiatic.html
Kataang	Austroasiatic	Katuic		Laos	15.678596	106.421671	54	110000		https://languagesgulper.com/eng/Austroasiatic.html
Nyahkur	Austroasiatic	Monic		Thailand	15.796126	102.028717	190	1500	disputed	https://languagesgulper.com/eng/Austroasiatic.html
Eastern Katu	Austroasiatic	Katuic		Vietnam	16.211009	107.717707	57	60000		https://languagesgulper.com/eng/Austroasiatic.html
Upper Ta'oih	Austroasiatic	Katuic		Laos, Vietnam	16.283335	106946143	150	60000		https://languagesgulper.com/eng/Austroasiatic.html
Sora	Austroasiatic	Munda		Odisha, Andhra (India)	17.215353	82.315131	180	410000		https://languagesgulper.com/eng/Austroasiatic.html
Eastern Bru	Austroasiatic	Katuic		Laos, Vietnam	17.284038	105.013104	200	140000		https://languagesgulper.com/eng/Austroasiatic.html
Riang	Austroasiatic	Palaungic		Burma	17.468752	97.503645	78	28000		https://web.archive.org/web/20110611042638/http://email.eva.mpg.de/~wichmann/Sidwell_ASJP_draft.pdf
Kano	Austroasiatic	Palaungic		Aungban, Kalaw township, Shan state	20.533508	95.42533	170	5000	critically endangered	https://www.britannica.com/topic/Palaungic-languages
Kiorr	Austroasiatic	Palaungic		Luang Namtha (Laos)	20.900699	101.381963	50	2400		https://web.archive.org/web/20110611042638/http://email.eva.mpg.de/~wichmann/Sidwell_ASJP_draft.pdf
Lamet	Austroasiatic	Palaungic		Laos	21.004075	101.411035	30	20000		https://www.britannica.com/topic/Palaungic-languages
Muak Sa-aak	Austroasiatic	Palaungic		Burma	21.169745	100.354561	80	4500		https://web.archive.org/web/20110611042638/http://email.eva.mpg.de/~wichmann/Sidwell_ASJP_draft.pdf
Mundari	Austroasiatic	Munda		Northeast India	21.371661	85.120552	200	1500000		https://languagesgulper.com/eng/Austroasiatic.html
Korku	Austroasiatic	Munda		Central India	21.772732	76.242759	200	500000		https://languagesgulper.com/eng/Austroasiatic.html
Blang	Austroasiatic	Palaungic		Burma	21.95171	100.389468	70	68000		https://web.archive.org/web/20110611042638/http://email.eva.mpg.de/~wichmann/Sidwell_ASJP_draft.pdf
Hu	Austroasiatic	Palaungic		Yunnan (China)	21.999548	100.84887	100	1000		https://web.archive.org/web/20110611042638/http://email.eva.mpg.de/~wichmann/Sidwell_ASJP_draft.pdf
Khmu	Austroasiatic	Khmuic		Laos, Vietnam, Thailand	22.337292	85.391385	80	600000		https://languagesgulper.com/eng/Austroasiatic.html
Kharia	Austroasiatic	Munda		Jharkhand, Chhattisgarh, Odisha (India)	22.432731	83.958754	400	300000		https://languagesgulper.com/eng/Austroasiatic.html
Bhumij	Austroasiatic	Munda		Northeast India	22.585613	85.769927	250	500000		https://languagesgulper.com/eng/Austroasiatic.html
Meung Yum	Austroasiatic	Palaungic		Kunlong Township, Shan State, Myanmar	23.408115	98.631646	75	8000		https://web.archive.org/web/20110611042638/http://email.eva.mpg.de/~wichmann/Sidwell_ASJP_draft.pdf
P'uman	Austroasiatic	Palaungic		Yunnan (China)	24.012245	99.834765	85	40000		https://web.archive.org/web/20110611042638/http://email.eva.mpg.de/~wichmann/Sidwell_ASJP_draft.pdf
Palaung 	Austroasiatic	Palaungic		Myanmar, China (Yunnan)	24.21789	99.13552	93	600000	severly endangered	https://languagesgulper.com/eng/Austroasiatic.html
Pnar	Austroasiatic	Khasic		Meghalaya, Northeast India	25.380798	92.385925	27	100000		https://languagesgulper.com/eng/Austroasiatic.html
Khasi	Austroasiatic	Khasic		Meghalaya, Northeast India	25.5257	91.397301	130	1000000		https://languagesgulper.com/eng/Austroasiatic.html
Central Khmer	Austroasiatic	Khmeric		Cambodia, South Vietnam	10.021845, 12.808672	105.744351, 104.932656	82, 240	750000, 750000		https://languagesgulper.com/eng/Austroasiatic.html
Kuy	Austroasiatic	Katuic		Thailand	16.43216, 16.010993, 13.497707	102.822731, 106.150142, 105.552071	200, 65, 115	350000, 100000, 50000		https://languagesgulper.com/eng/Austroasiatic.html
Wa	Austroasiatic	Palaungic		Myanmar, China (Yunnan)	21.108238, 23.283310, 19.887814	98.135224, 100.045720, 99.829512	360, 150, 60	800000, 500000, 100000		https://languagesgulper.com/eng/Austroasiatic.html
Muong	Austroasiatic	Vietic		North Vietnam	21.291997, 19.591836	104.658006, 105.401107	80, 75	650000, 650000		https://languagesgulper.com/eng/Austroasiatic.html
Vietnamese	Austroasiatic	Vietic		Vietnam	21.383361, 11.404852	105.377144, 107.396680	379, 154	3950000, 3950000		https://languagesgulper.com/eng/Austroasiatic.html
Ho	Austroasiatic	Munda		Northeast India	22.458874, 26.365992	85.194453, 92.764565	500, 150	60000, 60000		https://languagesgulper.com/eng/Austroasiatic.html
Santali	Austroasiatic	Munda		Northeast India	23.576136, 24.886041	86.264649, 92.676293	240, 230	375000, 375000		https://languagesgulper.com/eng/Austroasiatic.html
War Jaintia	Austroasiatic	Khasic		Meghalaya, Bangladesh	24.849439, 25.683275	91.842368, 91.060703	60, 102	16000, 51000		https://languagesgulper.com/eng/Austroasiatic.html
Mon	Austroasiatic	Monic		Myanmar, Thailand	16.62865	98.248835	120	900000		https://languagesgulper.com/eng/Austroasiatic.html
Bahnar	Austroasiatic	Bahnaric		Vietnam, South Laos, East Cambodia	14.401347	108.099982	120	160000		https://languagesgulper.com/eng/Austroasiatic.html
Mnong	Austroasiatic	Bahnaric		Vietnam, South Laos, East Cambodia	13.301696	107.644032	70	120000		https://languagesgulper.com/eng/Austroasiatic.html
Sedang	Austroasiatic	Bahnaric		Vietnam, South Laos, East Cambodia	15.304997	107.716718	75	100000		https://languagesgulper.com/eng/Austroasiatic.html
Lawa	Austroasiatic	Palaungic		Mae Hong Son and Chiang Mai (Thailand)	18.783625	98.394309	150	15000		https://web.archive.org/web/20110611042638/http://email.eva.mpg.de/~wichmann/Sidwell_ASJP_draft.pdf
Savaiq	Austroasiatic	Palaungic		Kunlong Township, Shan State, Burma	23.414518	98.647164	5	10000		https://web.archive.org/web/20110611042638/http://email.eva.mpg.de/~wichmann/Sidwell_ASJP_draft.pdf
Mong Lue	Austroasiatic	Palaungic		Burma, Laos	21.133686	99.767158	240	5000		https://web.archive.org/web/20110611042638/http://email.eva.mpg.de/~wichmann/Sidwell_ASJP_draft.pdf
Mang	Austroasiatic	Palaungic		Lai Chau Province (Vietnam), Jinping (China)	22.538749	103.25116	60	4900		https://www.britannica.com/topic/Palaungic-languages
Mok	Austroasiatic	Palaungic		Shan State (Myanmar), Lampang (Thailand)	21.156014	98.155578	97	4700		https://web.archive.org/web/20110611042638/http://email.eva.mpg.de/~wichmann/Sidwell_ASJP_draft.pdf